County_ID,County,PA_Region,Year,ETANF,Snap_January ,SNAP_July,Medicaid,SSI,WIC,CHIP,LFPR,U_Rate,Med_Income,ED_Attain_HSandAbove,Ed_Attain_BAandAbove,Employ_TR,Pov_Rate,Population
3,Allegheny,West,2015,"1,528","85,103","86,132","216,819","35,062",,"11,044",95,5,"$54,412 ",93.5,39.7,,12.3,"1,230,052"
7,Beaver,West,2015,29,"12,809","13,026","33,455","4,754",,"1,906",94,6,"$50,131 ",91.5,21.6,,13.5,"168,526"
11,Berks,West,2015,114,"29,070","29,537","84,538","10,548",,"5,654",95.1,4.9,"$56,167 ",86.9,24.4,,12.8,"415,261"
13,Blair,Central,2015,24,"10,430","10,657","30,187","4,711",,"1,677",94.8,5.2,"$44,880 ",90.4,21.9,,15.3,"124,818"
17,Bucks,Southeast,2015,40,"19,541","19,741","68,881","7,002",,"7,305",95.3,4.7,"$80,512 ",93.3,38.8,,6.1,"626,209"
19,Butler,West,2015,21,"8,037","8,297","23,994","3,307",,"1,906",95.3,4.7,"$67,892 ",93.2,31.7,,,"185,891"
21,Cambria,Central,2015,43,"11,573","11,724","30,780","5,068",,"1,648",93.4,6.6,"$43,786 ",91.3,21.1,,14.9,"135,854"
29,Chester,Southeast,2015,46,"11,981","12,161","47,865","4,217",,"4,888",96.2,3.8,"$90,555 ",92.8,51,,5.7,"515,226"
39,Crawford,West,2015,22,"6,556","6,547","18,698","2,974",,952,94.8,5.2,"$45,989 ",88,20.3,,15,"86,701"
43,Dauphin,Southeast,2015,163,"19,438","20,798","58,256","7,565",,"2,846",95.3,4.7,"$54,198 ",89.3,28.4,,14.1,"273,176"
45,Delaware,Southeast,2015,290,"32,652","33,578","101,113","12,440",,"6,734",95.1,4.9,"$67,184 ",92.7,36.6,,10.3,"563,705"
49,Erie,West,2015,170,"27,082","27,257","71,995","11,172",,"2,885",94.5,5.5,"$47,118 ",91.7,26.4,,17.5,"278,111"
51,Fayette,West,2015,70,"15,848","16,045","39,242","8,295",,"1,792",92.5,7.5,"$40,293 ",88.2,16.3,,20.8,"133,290"
55,Franklin,Southeast,2015,3,"7,215","7,524","25,185","2,499",,"2,627",95,5,"$56,975 ",87.7,20.2,,8.9,"152,903"
